budget_type,city_abc,expense_category,division_board,consultants_name
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Toronto + Region Conservation For The Living City
CAPITAL,Infrastructure and Development,Technical,Transportation Services,KITE Research Institute
CAPITAL,Infrastructure and Development,Technical,Transportation Services,Toronto Transit Commission
CAPITAL,Infrastructure and Development,Technical,Waterfront Secretariat,Steer Davies Gleave North America
CAPITAL,Infrastructure and Development,Technical,Waterfront Secretariat,Arup Canada Inc.
CAPITAL,Agencies and Corporations,Technical,Exhibition Place,CIMA Canada Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,LRI Engineering
CAPITAL,Agencies and Corporations,Technical,TO Live,VG The Ventin Group Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,VG The Ventin Group Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,VG The Ventin Group Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,VG The Ventin Group Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,VG The Ventin Group Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,AEA Consulting
CAPITAL,Agencies and Corporations,Technical,TO Live,Blackwell Structural Engineers
CAPITAL,Agencies and Corporations,Technical,TO Live,Building Arts Architects Inc
CAPITAL,Agencies and Corporations,Technical,TO Live,Building Arts Architects Inc
CAPITAL,Agencies and Corporations,Technical,TO Live,CDW Engineering
CAPITAL,Agencies and Corporations,Technical,TO Live,Diamond Schmitt Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,Elevation Aerial Design and Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,Epiphany Engineering Inc
CAPITAL,Agencies and Corporations,Technical,TO Live,ERA Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,ERA Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,ERA Architects
CAPITAL,Agencies and Corporations,Technical,TO Live,Fisher Dachs Associates
CAPITAL,Agencies and Corporations,Technical,TO Live,Gluck Partnership Architects Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,Gluck Partnership Architects Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,HJ Consulting Engineering Inc
CAPITAL,Agencies and Corporations,Technical,TO Live,KJA Consultants Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,KJA Consultants Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,Kramer Design Associates Limited
CAPITAL,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,ML Environmental Consulting Inc.
CAPITAL,Agencies and Corporations,Technical,TO Live,Smith +Andersen
CAPITAL,Agencies and Corporations,Technical,TO Live,Ugarit Contracting LTD.
CAPITAL,Agencies and Corporations,Technical,TO Live,YMSD Consulting
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Community Housing Corporation,KPMG LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Community Housing Corporation,PricewaterhouseCoopers LLP
CAPITAL,Agencies and Corporations,Information Technology,Toronto Police Service,Teramach Technologies Inc.
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Police Service,Procurement Law Office Professional
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Police Service,HKA Global Canada Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Police Service,Kasian Architecture Ontario Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Police Service,Bell Canada
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Police Service,Ian Martin Information Technology
CAPITAL,Agencies and Corporations,Technical,Toronto Police Service,Teramach Technologies Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Police Service,400525 Ontario Limited
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Public Library Board,Ernst & Young LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Transit Commission,Chernos Flaherty svonkin LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Transit Commission,Willms & Shier Environmental Lawyers
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Transit Commission,"Osler, Hoskins & Harcourt Law Services (C. Wong)"
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Transit Commission,"Osler, Hoskins & Harcourt Law Services (C. Wong)"
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Optimus SBR Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,KPMG LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Execute Strategy
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Ernst & Young LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,KPMG LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Ernst & Young LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Execute Strategy
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Optimus SBR Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Ernst & Young LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Transit Commission,Execute Strategy
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,LTK Consulting Services Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Ontario Environmental & Safety Network Ltd.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Bombardier Transportation
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Mott MacDonald Canada Ltd.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,S. Green Services
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,SCL LRT Engineering Services
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Marathon Technical Services
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,LTK Consulting Services Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Mott MacDonald Canada Ltd.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,KPMG LLP
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,WSP Canada Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Kinectrics Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Comtech Group Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,SNC-Lavalin Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,SNC-Lavalin Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,Thales Canada
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,CH2M Hill Canada Ltd
CAPITAL,Agencies and Corporations,Technical,Toronto Transit Commission,LTK Consulting Services Inc.
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Swerhun Inc.
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Creative Communications,Toronto Waterfront Revitalization Corporation,Bespoke Cultural Collective
CAPITAL,Agencies and Corporations,Information Technology,Toronto Waterfront Revitalization Corporation,Global Privacy & Security by Design Centre
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Waterfront Revitalization Corporation,Bennett Jones LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Waterfront Revitalization Corporation,McCarthy Tetrault LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Waterfront Revitalization Corporation,Dentons Canada LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Waterfront Revitalization Corporation,nNovation LLP
CAPITAL,Agencies and Corporations,Legal (External Lawyers & Planners),Toronto Waterfront Revitalization Corporation,Stikeman Elliott LLP
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,Arup Canada Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,N. Barry Lyon Consultants Limited
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,Moriyama & Teshima Architects
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,Steer Davies Gleave North America
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,Perkins & Will
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,The Lonsdale Group
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Waterfront Revitalization Corporation,Hammersmith Consultants
CAPITAL,Agencies and Corporations,Technical,Toronto Waterfront Revitalization Corporation,KPMG LLP
CAPITAL,Agencies and Corporations,Technical,Toronto Waterfront Revitalization Corporation,N. Barry Lyon Consultants Limited
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Zoo,Zeidler Architecture Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Zoo,Zeidler Architecture Inc.
CAPITAL,Agencies and Corporations,Management / Research & Development,Toronto Zoo,WSP Canada Inc.
CAPITAL,Agencies and Corporations,Technical,Toronto Zoo,IRC Building Sciences Group Inc.
NA,NA,NA,NA,NA
